THÁNG,NỘI DUNG CHI,PHÂN LOẠI,SỐ TIỀN,DÒNG TIỀN,TÀI CHÍNH
2023.11,chè+giặt đồ T10,Mua đồ hành chính,920.000,Biến phí,Chi phí hành chính
2023.11,hoa trái cây,Mua đồ hành chính,185.000,Biến phí,Chi phí hành chính
2023.11,hoa trái cây,Mua đồ hành chính,655.000,Biến phí,Chi phí hành chính
2023.11,đồ cúng khai trương,Mua đồ hành chính,3.000.000,Biến phí,Chi phí hành chính
2023.11,heo quay cúng khai trương,Mua đồ hành chính,1.500.000,Biến phí,Chi phí hành chính
2023.11,hoa trái cây,Mua đồ hành chính,180.000,Biến phí,Chi phí hành chính
2023.11,hoa trái cây,Mua đồ hành chính,400.000,Biến phí,Chi phí hành chính
2023.11,chè t11,Mua đồ hành chính,615.000,Biến phí,Chi phí hành chính
2023.11,nc suối,Mua đồ hành chính,290.000,Biến phí,Chi phí hành chính
2023.11,nc suối,Mua đồ hành chính,1.880.000,Biến phí,Chi phí hành chính
2023.11,đồ tạp vụ,Mua đồ hành chính,3.495.000,Biến phí,Chi phí hành chính
2023.11,nước bình,Mua đồ hành chính,290.000,Biến phí,Chi phí hành chính
2023.11,nc suối,Mua đồ hành chính,1.880.000,Biến phí,Chi phí hành chính
2023.11,đồ tạp vụ còn thiếu,Mua đồ hành chính,550.000,Biến phí,Chi phí hành chính
2023.11,mua thêm đồ tạp vụ,Mua đồ hành chính,2.072.000,Biến phí,Chi phí hành chính
2023.11,nước suối,Mua đồ hành chính,1.880.000,Biến phí,Chi phí hành chính
2023.11,giấy vs,Mua đồ hành chính,818.000,Biến phí,Chi phí hành chính
2023.11,mứt gừng,Mua đồ hành chính,60.000,Biến phí,Chi phí hành chính
2023.11,20t nc suối,Mua đồ hành chính,1.880.000,Biến phí,Chi phí hành chính
2023.11,nc bình,Mua đồ hành chính,290.000,Biến phí,Chi phí hành chính
2023.11,sữa,Mua đồ hành chính,457.000,Biến phí,Chi phí hành chính
2023.11,nc lau kiinhs,Mua đồ hành chính,174.000,Biến phí,Chi phí hành chính
2023.11,nc bình,Mua đồ hành chính,290.000,Biến phí,Chi phí hành chính
2023.11,nc thùng,Mua đồ hành chính,250.000,Biến phí,Chi phí hành chính
2023.11,Thanh toán tiền mua kẹo cho lễ tân,Mua đồ hành chính,180.000,Biến phí,Chi phí hành chính
2023.11,Thanh toán tiền ly giấy + café gói để tiếp khách VP,tiếp khách,156.000,Định phí,Chi phí hành chính
2023.11,Thanh toán tiền nước uống Lavie bình 19l cho VP,Mua đồ hành chính,413.000,Biến phí,Chi phí hành chính
2023.11,Thanh toán tiền mua 02 giá đựng ly sử dụng 1 lần gắn cho 2 bình nóng lạnh tại PK,Mua đồ hành chính,127.000,Biến phí,Chi phí hành chính
2023.11,vest dphuc,Mua đồ hành chính,8.800.000,Biến phí,Chi phí hành chính
2023.11,bảng tên,Mua đồ hành chính,1.548.000,Biến phí,Chi phí hành chính
2023.11,Thanh toán tiền mua Dép cho phụ tá Kha,Mua đồ hành chính,170.000,Biến phí,Chi phí hành chính
2023.11,Thanh toán tiền mua 4 đồng phục áo thun đen : 2 cái cho tạp vụ Thiện + 2 cái backup cho khai trương (99k/ cái + thêu 25k/ cái) + ship áo 30k,Mua đồ hành chính,526.000,Biến phí,Chi phí hành chính
2023.11,phí hh 54521,Marketing chạy Quảng cáo,2.300.000,Biến phí,Chi phí bán hàng
2023.11,hh 56395,Marketing chạy Quảng cáo,26.888.000,Biến phí,Chi phí bán hàng
2023.11,hh 54013,Marketing chạy Quảng cáo,7.152.000,Biến phí,Chi phí bán hàng
2023.11,hh 53790,Marketing chạy Quảng cáo,24.540.000,Biến phí,Chi phí bán hàng
2023.11,hh 56506,Marketing chạy Quảng cáo,5.480.000,Biến phí,Chi phí bán hàng
2023.11,phí trả góp Võ thị Thu Lan,Marketing chạy Quảng cáo,5.708.000,Biến phí,Chi phí bán hàng
2023.11,Phí trả góp 53959,Marketing chạy Quảng cáo,2.053.000,Biến phí,Chi phí bán hàng
2023.11,Phí trả góp 56643,Marketing chạy Quảng cáo,2.819.000,Biến phí,Chi phí bán hàng
2023.11,Hh 56195,Marketing chạy Quảng cáo,7.280.000,Biến phí,Chi phí bán hàng
