THÁNG,NGÀY,TIỀN MẶT,CÀ THẺ,THỰC NHẬN CÀ THẺ,CHUYỂN KHOẢN,TRẢ CỌC,TỔNG,TỔNG TRỪ PHÍ CÀ THẺ
2023.07,10/07/2023,12.895.000,6.400.000,6.297.600,35.715.000,0,55.010.000,54.907.600
2023.07,11/07/2023,7.260.000,4.595.000,4.521.480,16.390.000,0,28.245.000,28.171.480
2023.07,12/07/2023,35.295.000,1.850.000,1.820.400,54.090.000,0,91.235.000,91.205.400
2023.07,13/07/2023,25.160.000,4.400.000,4.329.600,24.561.666,0,54.121.666,54.051.266
2023.07,14/07/2023,11.600.000,11.745.000,11.597.080,36.205.000,0,59.550.000,59.402.080
2023.07,15/07/2023,24.760.000,12.070.000,11.899.880,28.851.000,0,65.681.000,65.510.880
2023.07,16/07/2023,17.550.000,5.150.000,5.060.400,31.920.000,0,54.620.000,54.530.400
2023.07,17/07/2023,42.245.000,9.526.666,9.366.439,31.295.000,0,83.066.666,82.906.439
2023.07,18/07/2023,23.650.000,11.015.000,10.848.920,15.015.000,0,49.680.000,49.513.920
2023.07,19/07/2023,14.955.000,8.785.000,8.676.240,27.830.000,0,51.570.000,51.461.240
2023.07,20/07/2023,9.190.000,7.100.000,7.002.900,42.020.000,0,58.310.000,58.212.900
2023.07,21/07/2023,10.490.000,3.900.000,3.864.100,25.950.000,0,40.340.000,40.304.100
2023.07,22/07/2023,6.315.000,17.825.000,17.576.250,33.480.000,0,57.620.000,57.371.250
2023.07,23/07/2023,14.815.000,16.145.000,16.012.280,13.900.000,0,44.860.000,44.727.280
2023.07,24/07/2023,12.890.000,3.560.000,3.503.040,15.515.000,0,31.965.000,31.908.040
2023.07,25/07/2023,4.770.000,34.595.000,34.041.480,18.500.000,0,57.865.000,57.311.480
2023.07,26/07/2023,20.495.000,32.625.000,32.117.378,17.975.000,0,71.095.000,70.587.378
2023.07,27/07/2023,10.845.000,4.950.000,4.882.800,16.690.000,0,32.485.000,32.417.800
2023.07,28/07/2023,2.325.000,1.250.000,1.242.500,23.645.000,0,27.220.000,27.212.500
2023.07,29/07/2023,9.345.000,12.455.000,12.255.720,41.350.000,0,63.150.000,62.950.720
2023.07,30/07/2023,13.925.000,3.045.000,3.000.280,10.055.000,0,27.025.000,26.980.280
2023.07,31/07/2023,6.940.000,9.417.000,9.295.328,37.752.000,0,54.109.000,53.987.328
2023.08,01/08/2023,19.710.000,5.445.000,5.400.330,8.900.000,0,34.055.000,34.010.330
2023.08,02/08/2023,2.000.000,12.700.000,12.588.316,9.000.000,0,23.700.000,23.588.316
2023.08,03/08/2023,15.115.000,6.200.000,6.125.800,32.540.000,0,53.855.000,53.780.800
2023.08,04/08/2023,51.910.000,10.950.000,10.807.800,32.010.000,0,94.870.000,94.727.800
2023.08,05/08/2023,21.045.000,9.570.000,9.416.880,22.921.666,0,53.536.666,53.383.546
2023.08,06/08/2023,25.375.000,5.860.000,5.794.290,24.470.000,0,55.705.000,55.639.290
2023.08,07/08/2023,19.210.000,7.115.000,6.997.960,25.093.332,0,51.418.332,51.301.292
2023.08,08/08/2023,11.360.000,6.020.000,5.923.680,17.855.000,0,35.235.000,35.138.680
2023.08,09/08/2023,14.135.000,15.590.000,15.359.360,31.795.000,0,61.520.000,61.289.360
2023.08,10/08/2023,7.360.000,14.300.000,14.087.800,40.575.000,0,62.235.000,62.022.800
2023.08,11/08/2023,21.250.000,4.700.000,4.634.800,74.600.000,0,100.550.000,100.484.800
2023.08,12/08/2023,12.060.000,13.280.000,13.036.540,42.990.000,0,68.330.000,68.086.540
2023.08,13/08/2023,47.675.000,4.080.000,4.031.520,34.430.000,0,86.185.000,86.136.520
2023.08,14/08/2023,47.540.000,6.567.000,6.474.928,55.390.000,0,109.497.000,109.404.928
2023.08,15/08/2023,1.850.000,14.195.000,13.968.555,22.743.000,0,38.788.000,38.561.555
2023.08,16/08/2023,16.260.000,3.160.000,3.123.440,54.750.000,0,74.170.000,74.133.440
2023.08,17/08/2023,8.685.000,14.800.000,14.574.120,4.710.000,0,28.195.000,27.969.120
2023.08,18/08/2023,16.745.000,2.450.000,2.435.300,36.220.000,0,55.415.000,55.400.300
2023.08,19/08/2023,19.260.000,9.000.000,8.856.000,33.567.000,0,61.827.000,61.683.000
2023.08,20/08/2023,57.480.000,6.330.000,6.232.220,9.370.000,0,73.180.000,73.082.220
2023.08,21/08/2023,30.515.000,2.790.000,2.745.360,19.819.999,0,53.124.999,53.080.359
2023.08,22/08/2023,17.410.000,7.400.000,7.294.100,12.965.000,0,37.775.000,37.669.100
2023.08,23/08/2023,42.393.200,4.211.666,4.144.279,35.240.000,0,81.844.866,81.777.479
2023.08,24/08/2023,10.920.000,14.950.000,14.723.300,13.720.000,0,39.590.000,39.363.300
2023.08,25/08/2023,3.165.000,32.395.000,31.883.580,34.820.000,0,70.380.000,69.868.580
2023.08,26/08/2023,15.242.000,22.900.000,22.545.389,11.320.000,0,49.462.000,49.107.389
2023.08,27/08/2023,15.590.000,5.640.000,5.549.760,17.820.000,0,39.050.000,38.959.760
2023.08,28/08/2023,31.880.000,5.210.000,5.145.240,12.087.000,0,49.177.000,49.112.240
2023.08,29/08/2023,15.645.000,11.850.000,11.665.400,23.600.000,0,51.095.000,50.910.400
2023.08,30/08/2023,4.605.000,13.850.000,13.618.400,18.505.000,0,36.960.000,36.728.400
2023.08,31/08/2023,4.460.000,1.150.000,1.131.600,16.170.000,0,21.780.000,21.761.600
2023.09,01/09/2023,8.865.000,14.345.000,14.116.480,53.218.000,0,76.428.000,76.199.480
2023.09,02/09/2023,0,0,0,0,0,0,0
2023.09,03/09/2023,9.375.000,11.065.000,10.887.960,12.145.000,0,32.585.000,32.407.960
2023.09,04/09/2023,13.280.000,3.050.000,3.013.700,28.950.000,0,45.280.000,45.243.700
