THÁNG,NGÀY,TIỀN MẶT,CÀ THẺ,THỰC NHẬN CÀ THẺ,CHUYỂN KHOẢN,TRẢ GÓP,TRẢ CỌC,TỔNG,TỔNG TRỪ PHÍ CÀ THẺ
2024.06,10/06/2024,4.265.000,1.309.500,1.284.500,21.509.000,0,0,27.083.500,27.058.500
2024.06,11/06/2024,37.030.000,11.500.000,11.268.000,49.230.000,0,0,97.760.000,97.528.000
2024.06,12/06/2024,3.100.000,350.000,344.400,1.060.000,0,0,4.510.000,4.504.400
2024.06,13/06/2024,200.000,70.000,68.880,7.050.000,0,0,7.320.000,7.318.880
2024.06,14/06/2024,16.235.000,0,0,6.287.000,0,0,22.522.000,22.522.000
2024.06,15/06/2024,2.290.000,0,0,30.895.000,0,0,33.185.000,33.185.000
2024.06,16/06/2024,4.200.000,0,0,142.725.000,0,0,146.925.000,146.925.000
2024.06,17/06/2024,13.830.000,7.000.000,6.958.000,1.365.000,0,0,22.195.000,22.153.000
2024.06,18/06/2024,24.868.500,6.050.000,5.903.100,5.050.000,0,0,35.968.500,35.821.600
2024.06,19/06/2024,2.500.000,175.000,172.200,700.000,0,0,3.375.000,3.372.200
2024.06,20/06/2024,16.610.000,2.500.000,2.460.000,16.130.000,0,0,35.240.000,35.200.000
2024.06,21/06/2024,29.825.000,1.000.000,984.000,21.600.000,0,0,52.425.000,52.409.000
2024.06,22/06/2024,11.250.000,1.050.000,1.030.500,3.340.000,0,0,15.640.000,15.620.500
2024.06,23/06/2024,3.545.000,4.450.000,4.378.000,5.405.000,0,0,13.400.000,13.328.000
2024.06,24/06/2024,3.000.000,0,0,14.450.000,0,0,17.450.000,17.450.000
2024.06,25/06/2024,10.935.000,0,0,213.400.000,0,0,224.335.000,224.335.000
2024.06,26/06/2024,80.000.000,0,0,207.300.000,0,0,287.300.000,287.300.000
2024.06,27/06/2024,3.320.000,0,0,0,0,0,3.320.000,3.320.000
2024.06,28/06/2024,0,1.500.000,1.476.000,8.520.000,35.780.000,0,45.800.000,45.776.000
2024.06,29/06/2024,6.500.000,19.500.000,19.150.200,5.600.000,0,0,31.600.000,31.250.200
2024.06,30/06/2024,7.860.000,5.405.000,5.337.920,17.580.000,0,0,30.845.000,30.777.920
2024.07,01/07/2024,36.900.000,0,0,6.505.000,0,0,43.405.000,43.405.000
2024.07,02/07/2024,4.490.000,3.670.000,3.615.200,1.525.000,0,0,9.685.000,9.630.200
2024.07,03/07/2024,5.621.500,0,0,15.750.000,20.000.000,0,41.371.500,41.371.500
2024.07,04/07/2024,26.850.000,0,0,6.500.000,0,0,33.350.000,33.350.000
2024.07,05/07/2024,50.168.500,8.580.000,8.437.120,1.960.000,0,0,60.708.500,60.565.620
2024.07,06/07/2024,1.000.000,2.500.000,2.460.000,21.200.000,0,0,24.700.000,24.660.000
2024.07,07/07/2024,2.200.000,1.000.000,990.000,350.000,0,0,3.550.000,3.540.000
2024.07,08/07/2024,16.700.000,0,0,1.500.000,0,0,18.200.000,18.200.000
2024.07,09/07/2024,0,3.450.000,3.394.800,4.600.000,0,0,8.050.000,7.994.800
2024.07,10/07/2024,4.700.000,0,0,16.600.000,0,0,21.300.000,21.300.000
2024.07,11/07/2024,177.785.000,0,0,2.500.000,0,0,180.285.000,180.285.000
2024.07,12/07/2024,13.500.000,2.350.000,2.325.000,8.320.000,0,8.580.000,15.590.000,15.565.000
